text
"Music and Lyric by Lady Gaga and BloodPop got nominated under the category, music (original song), for the film Top Gun: Maverick but did not win"
"Music by Tems, Rihanna, Ryan Coogler and Ludwig Goransson; Lyric by Tems and Ryan Coogler got nominated under the category, music (original song), for the film Black Panther: Wakanda Forever but did not win"
"Music by M.M. Keeravaani; Lyric by Chandrabose got nominated under the category, music (original song), for the film RRR to win the award"
"Music by Ryan Lott, David Byrne and Mitski; Lyric by Ryan Lott and David Byrne got nominated under the category, music (original song), for the film Everything Everywhere All at Once but did not win"
"Malte Grunert, Producer got nominated under the category, best picture, for the film All Quiet on the Western Front but did not win"
"James Cameron and Jon Landau, Producers got nominated under the category, best picture, for the film Avatar: The Way of Water but did not win"
"Graham Broadbent, Pete Czernin and Martin McDonagh, Producers got nominated under the category, best picture, for the film The Banshees of Inisherin but did not win"
"Baz Luhrmann, Catherine Martin, Gail Berman, Patrick McCormick and Schuyler Weiss, Producers got nominated under the category, best picture, for the film Elvis but did not win"
"Daniel Kwan, Daniel Scheinert and Jonathan Wang, Producers got nominated under the category, best picture, for the film Everything Everywhere All at Once to win the award"
"Kristie Macosko Krieger, Steven Spielberg and Tony Kushner, Producers got nominated under the category, best picture, for the film The Fabelmans but did not win"
"Todd Field, Alexandra Milchan and Scott Lambert, Producers got nominated under the category, best picture, for the film Tár but did not win"
"Tom Cruise, Christopher McQuarrie, David Ellison and Jerry Bruckheimer, Producers got nominated under the category, best picture, for the film Top Gun: Maverick but did not win"
"Erik Hemmendorff and Philippe Bober, Producers got nominated under the category, best picture, for the film Triangle of Sadness but did not win"
"Dede Gardner, Jeremy Kleiner and Frances McDormand, Producers got nominated under the category, best picture, for the film Women Talking but did not win"
"Production Design: Christian M. Goldbeck; Set Decoration: Ernestine Hipper got nominated under the category, production design, for the film All Quiet on the Western Front to win the award"
"Production Design: Dylan Cole and Ben Procter; Set Decoration: Vanessa Cole got nominated under the category, production design, for the film Avatar: The Way of Water but did not win"
"Production Design: Florencia Martin; Set Decoration: Anthony Carlino got nominated under the category, production design, for the film Babylon but did not win"
"Production Design: Catherine Martin and Karen Murphy; Set Decoration: Bev Dunn got nominated under the category, production design, for the film Elvis but did not win"
"Production Design: Rick Carter; Set Decoration: Karen O'Hara got nominated under the category, production design, for the film The Fabelmans but did not win"
"Charlie Mackesy and Matthew Freud got nominated under the category, short film (animated), for the film The Boy, the Mole, the Fox and the Horse to win the award"
"Amanda Forbis and Wendy Tilby got nominated under the category, short film (animated), for the film The Flying Sailor but did not win"
"João Gonzalez and Bruno Caetano got nominated under the category, short film (animated), for the film Ice Merchants but did not win"
"Sara Gunnarsdóttir and Pamela Ribon got nominated under the category, short film (animated), for the film My Year of Dicks but did not win"
"Lachlan Pendragon got nominated under the category, short film (animated), for the film An Ostrich Told Me the World Is Fake and I Think I Believe It but did not win"
"Tom Berkeley and Ross White got nominated under the category, short film (live action), for the film An Irish Goodbye to win the award"
"Anders Walter and Rebecca Pruzan got nominated under the category, short film (live action), for the film Ivalu but did not win"
"Alice Rohrwacher and Alfonso Cuarón got nominated under the category, short film (live action), for the film Le Pupille but did not win"
"Eirik Tveiten and Gaute Lid Larssen got nominated under the category, short film (live action), for the film Night Ride but did not win"
"Cyrus Neshvad got nominated under the category, short film (live action), for the film The Red Suitcase but did not win"
"Viktor Prášil, Frank Kruse, Markus Stemler, Lars Ginzel and Stefan Korte got nominated under the category, sound, for the film All Quiet on the Western Front but did not win"
"Julian Howarth, Gwendolyn Yates Whittle, Dick Bernstein, Christopher Boyes, Gary Summers and Michael Hedges got nominated under the category, sound, for the film Avatar: The Way of Water but did not win"
"Stuart Wilson, William Files, Douglas Murray and Andy Nelson got nominated under the category, sound, for the film The Batman but did not win"
"David Lee, Wayne Pashley, Andy Nelson and Michael Keller got nominated under the category, sound, for the film Elvis but did not win"
"Mark Weingarten, James H. Mather, Al Nelson, Chris Burdon and Mark Taylor got nominated under the category, sound, for the film Top Gun: Maverick to win the award"
"Frank Petzold, Viktor Müller, Markus Frank and Kamil Jafar got nominated under the category, visual effects, for the film All Quiet on the Western Front but did not win"
"Joe Letteri, Richard Baneham, Eric Saindon and Daniel Barrett got nominated under the category, visual effects, for the film Avatar: The Way of Water to win the award"
"Dan Lemmon, Russell Earl, Anders Langlands and Dominic Tuohy got nominated under the category, visual effects, for the film The Batman but did not win"
"Geoffrey Baumann, Craig Hammack, R. Christopher White and Dan Sudick got nominated under the category, visual effects, for the film Black Panther: Wakanda Forever but did not win"
"Ryan Tudhope, Seth Hill, Bryan Litson and Scott R. Fisher got nominated under the category, visual effects, for the film Top Gun: Maverick but did not win"
"Screenplay - Edward Berger, Lesley Paterson & Ian Stokell got nominated under the category, writing (adapted screenplay), for the film All Quiet on the Western Front but did not win"
"Written by Rian Johnson got nominated under the category, writing (adapted screenplay), for the film Glass Onion: A Knives Out Mystery but did not win"
"Written by Kazuo Ishiguro got nominated under the category, writing (adapted screenplay), for the film Living but did not win"
"Screenplay by Ehren Kruger and Eric Warren Singer and Christopher McQuarrie; Story by Peter Craig and Justin Marks got nominated under the category, writing (adapted screenplay), for the film Top Gun: Maverick but did not win"
"Screenplay by Sarah Polley got nominated under the category, writing (adapted screenplay), for the film Women Talking to win the award"
"Written by Martin McDonagh got nominated under the category, writing (original screenplay), for the film The Banshees of Inisherin but did not win"
"Written by Daniel Kwan & Daniel Scheinert got nominated under the category, writing (original screenplay), for the film Everything Everywhere All at Once to win the award"
"Written by Steven Spielberg & Tony Kushner got nominated under the category, writing (original screenplay), for the film The Fabelmans but did not win"
"Written by Todd Field got nominated under the category, writing (original screenplay), for the film Tár but did not win"
"Written by Ruben Östlund got nominated under the category, writing (original screenplay), for the film Triangle of Sadness but did not win"
"To Ryan Laney for his innovative adaptation and deployment of AI-driven facial veiling technology used to protect the identities while preserving the visual relatability of subjects in documentary filmmaking as exemplified in Welcome to Chechnya (2020). got nominated under the category, award of commendation, for the film Welcome to Chechnya to win the award"
